Brand,Model,Battery,Acceleration(0-100km/h) Time,Top_Speed,Range(km),Efficiency(Wh/km),Fastcharge,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Value
TESLA,Model 3,57.5,6.1,201,415,139,690,Rear Wheel Drive,Towbar possible,1000,5,49827
TESLA,Model Y,57.5,6.9,217,350,164,580,Rear Wheel Drive,Towbar possible,1600,5,56057
TESLA,Model Y Long Range Dual Motor,75.0,5.0,217,435,172,670,All Wheel Drive,Towbar possible,1600,5,66025
TESLA,Model 3 Long Range Dual Motor,75.0,4.4,201,500,150,770,All Wheel Drive,Towbar possible,1000,5,62287
TESLA,Model Y Long Range RWD,75.0,5.9,217,460,163,710,Rear Wheel Drive,Towbar possible,1600,5,27927
TESLA,Model Y Performance,75.0,3.8,250,415,181,640,All Wheel Drive,Towbar possible,1600,5,74747
BMW,i4 eDrive40,80.7,5.7,190,515,157,800,Rear Wheel Drive,Towbar possible,1600,5,72130
BMW,iX xDrive40,71.0,6.1,200,360,197,480,All Wheel Drive,Towbar possible,2500,5,87101
TESLA,Model S Plaid,95.0,2.3,282,560,170,780,All Wheel Drive,Towbar possible,1600,5,124600
TESLA,Model S Dual Motor,95.0,3.2,250,575,165,800,All Wheel Drive,Towbar possible,1600,5,105910
TESLA,Model 3 Performance,75.0,3.2,262,455,165,700,All Wheel Drive,Towbar not possible,0,5,74747
BMW,iX3,74.0,6.8,180,385,192,520,Rear Wheel Drive,Towbar possible,750,5,79949
BMW,iX1 xDrive30,64.7,5.6,180,380,170,510,All Wheel Drive,Towbar possible,1200,5,59141
AUDI,Q6 e-tron quattro,94.9,5.9,210,460,206,920,All Wheel Drive,Towbar possible,2400,5,85942
TOYOTA,bZ4X FWD,64.0,7.5,160,340,188,510,Front Wheel Drive,Towbar possible,750,5,57453
BMW,i4 M50,80.7,3.9,225,450,179,700,All Wheel Drive,Towbar possible,1600,5,88571
ROLLS-ROYCE,Spectre,102.0,4.5,250,465,219,540,All Wheel Drive,Towbar not possible,0,4,411180
NISSAN,Leaf,39.0,7.9,144,235,166,230,Front Wheel Drive,Towbar not possible,0,5,36127
BMW,i7 xDrive60,101.7,4.7,240,510,199,760,All Wheel Drive,Towbar possible,2000,5,142006
BMW,i4 eDrive35,67.0,6.0,190,430,156,580,Rear Wheel Drive,Towbar possible,1600,5,62293
MERCEDES-BENZ,EQB 250+,70.5,8.9,160,415,170,490,Front Wheel Drive,Towbar possible,1400,7,65788
AUDI,Q4 e-tron 45,77.0,6.7,180,420,183,630,Rear Wheel Drive,Towbar possible,1000,5,63228
AUDI,Q8 e-tron 55 quattro,106.0,5.6,200,505,210,640,All Wheel Drive,Towbar possible,1800,5,96938
NISSAN,Ariya 87kWh,87.0,7.6,160,450,193,540,Front Wheel Drive,Towbar possible,750,5,55627
FORD,Mustang Mach-E ER RWD,91.0,7.0,180,480,190,420,Rear Wheel Drive,Towbar possible,1500,5,74548
BMW,iX xDrive50,105.2,4.6,200,505,208,680,All Wheel Drive,Towbar possible,2500,5,128032
BMW,iX1 eDrive20,64.7,8.3,170,390,166,520,Front Wheel Drive,Towbar possible,750,5,56649
MERCEDES-BENZ,EQA 250,66.5,8.6,160,395,168,570,Front Wheel Drive,Towbar possible,1500,5,53823
MERCEDES-BENZ,EQS 450+,108.4,6.1,210,635,171,950,Rear Wheel Drive,Towbar possible,750,5,62972
BMW,i5 eDrive40 Sedan,81.2,6.0,193,470,173,750,Rear Wheel Drive,Towbar possible,1500,5,92334
FORD,Explorer Extended Range RWD,77.0,6.4,180,430,179,640,Rear Wheel Drive,Towbar possible,1000,5,57160
TESLA,Model X Dual Motor,95.0,3.9,250,475,200,660,All Wheel Drive,Towbar possible,2250,7,130830
MERCEDES-BENZ,EQV 300 Long,90.0,12.1,160,315,286,320,Front Wheel Drive,Towbar not possible,0,7,49511
MERCEDES-BENZ,EQE 350+,90.6,6.4,210,530,171,790,Rear Wheel Drive,Towbar possible,750,5,45825
BMW,i5 M60 xDrive Sedan,81.2,3.8,230,420,193,670,All Wheel Drive,Towbar possible,2000,5,121790
TOYOTA,bZ4X AWD,64.0,6.9,160,315,203,470,All Wheel Drive,Towbar possible,750,5,65427
BMW,iX2 xDrive30,64.7,5.6,180,380,170,510,All Wheel Drive,Towbar possible,1200,5,71576
FORD,Explorer Extended Range AWD,79.0,5.3,180,430,184,690,All Wheel Drive,Towbar possible,1200,5,67252
TESLA,Model X Plaid,95.0,2.7,262,455,209,630,All Wheel Drive,Towbar possible,2250,7,149520
MERCEDES-BENZ,EQE 300,89.0,7.3,210,525,170,660,Rear Wheel Drive,Towbar possible,750,5,85737
NISSAN,Leaf e+,59.0,6.9,157,340,174,240,Front Wheel Drive,Towbar not possible,0,5,43566
MERCEDES-BENZ,EQB 350 4MATIC,66.5,6.2,160,345,193,500,All Wheel Drive,Towbar possible,1700,7,70785
MERCEDES-BENZ,EQA 250+,70.5,8.6,160,420,168,500,Front Wheel Drive,Towbar possible,1500,5,61988
FORD,Mustang Mach-E ER AWD,91.0,5.8,180,445,204,390,All Wheel Drive,Towbar possible,1500,5,81494
AUDI,Q8 e-tron Sportback 55 quattro,106.0,5.6,200,525,202,660,All Wheel Drive,Towbar possible,1800,5,100053
MERCEDES-BENZ,EQS 580 4MATIC,108.4,4.3,210,590,184,880,All Wheel Drive,Towbar possible,750,5,97109
BMW,iX M60,105.2,3.8,250,485,217,650,All Wheel Drive,Towbar possible,2500,5,152977
BMW,iX2 eDrive20,64.7,8.6,170,395,164,530,Front Wheel Drive,Towbar possible,750,5,64312
AUDI,Q8 e-tron 50 quattro,89.0,6.0,200,425,209,660,All Wheel Drive,Towbar possible,1800,5,84478
NISSAN,Ariya 63kWh,63.0,7.5,160,335,188,450,Front Wheel Drive,Towbar possible,750,5,49397
